Признак,Коэффициент,p-value,Значимо,abs_coef
фториды_твердые_ПДК,-1319.0892227986965,0.007773350924472561,✅,1319.0892227986965
фториды_твердые,657.2399957514325,0.025502560449725122,✅,657.2399957514325
гидрофторид_ПДК,-281.9192104789952,0.018737484418057063,✅,281.9192104789952
фтор_вода,-206.8245275525523,7.186322597721291e-24,✅,206.8245275525523
бруксизм,14.244358264728875,2.9177455784645486e-22,✅,14.244358264728875
пол,-14.075214757375115,0.013708302707375709,✅,14.075214757375115
pH_вода,13.838542860667252,1.2054183953565508e-07,✅,13.838542860667252
курение_алкоголь,-12.840381789995133,3.669934639685535e-12,✅,12.840381789995133
энергозатраты,8.35537327788393,0.0009488887112580519,✅,8.35537327788393
пародонтит,7.557940277537306,4.268574236366724e-14,✅,7.557940277537306
рост,-5.249853930534438,1.1194535239614742e-10,✅,5.249853930534438
рефлюкс,3.580939678930243,9.377828264092773e-07,✅,3.580939678930243
возраст,3.493863232942615,1.51029391093603e-08,✅,3.493863232942615
фтор_чай,-2.3875671598636585,0.026685385735404347,✅,2.3875671598636585
белок_фтор,-0.5554244306334267,0.04207825093568073,✅,0.5554244306334267
